,answer_relevancy,semantic_similarity,faithfulness,ratio,dataset
count,25.0,25.0,25.0,15.0,baseline
mean,0.525744,0.888064,0.123332,0.16274652859030805,baseline
std,0.4412582747854896,0.04126616733677442,0.25358425082537495,0.32808318465796465,baseline
min,0.0,0.8147,0.0,0.0,baseline
25%,0.0,0.8603,0.0,0.0,baseline
50%,0.7767,0.899,0.0,0.0,baseline
75%,0.899,0.9118,0.0,0.14455880652249334,baseline
max,0.9725,0.9554,1.0,1.1405109489051095,baseline
count,25.0,25.0,25.0,19.0,baseline_with_history
mean,0.67588,0.8943479999999999,0.13914400000000002,0.19634033669788015,baseline_with_history
std,0.3895038264681534,0.047974595013055274,0.3163708031197991,0.411528792416106,baseline_with_history
min,0.0,0.7933,0.0,0.0,baseline_with_history
25%,0.81,0.8626,0.0,0.0,baseline_with_history
50%,0.8587,0.908,0.0,0.0,baseline_with_history
75%,0.9247,0.933,0.0,0.0,baseline_with_history
max,0.9582,0.9453,1.0,1.1700011700011699,baseline_with_history
count,25.0,25.0,25.0,17.0,history-summary
mean,0.586496,0.858636,0.21599999999999997,0.359817929225557,history-summary
std,0.4144717073979035,0.0654813260912351,0.34905693064790067,0.4651254614687365,history-summary
min,0.0,0.7203,0.0,0.0,history-summary
25%,0.0,0.816,0.0,0.0,history-summary
50%,0.8106,0.8874,0.0,0.0,history-summary
75%,0.8796,0.908,0.3333,0.5803156917363045,history-summary
max,0.9756,0.9681,1.0,1.2310722639418934,history-summary
count,25.0,25.0,25.0,16.0,ensembling
mean,0.56814,0.880252,0.12690400000000002,0.18829801252681658,ensembling
std,0.43738877252775177,0.05043443036920975,0.2669911632120684,0.382529103470996,ensembling
min,0.0,0.7791,0.0,0.0,ensembling
25%,0.0,0.8518,0.0,0.0,ensembling
50%,0.8206,0.893,0.0,0.0,ensembling
75%,0.9236,0.9119,0.1,0.07998464294855388,ensembling
max,0.9557,0.957,1.0,1.1405109489051095,ensembling
count,25.0,25.0,25.0,21.0,both-augmentations
mean,0.747564,0.8851959999999999,0.10662799999999999,0.12615089310149402,both-augmentations
std,0.3371729438532497,0.05950351166107762,0.2835822213515274,0.3572523896836645,both-augmentations
min,0.0,0.6876,0.0,0.0,both-augmentations
25%,0.8243,0.8811,0.0,0.0,both-augmentations
50%,0.8884,0.9006,0.0,0.0,both-augmentations
75%,0.9308,0.9349,0.0,0.0,both-augmentations
max,0.9647,0.949,1.0,1.213150551983501,both-augmentations
